date,state,fips,day_num,new,value,type,growth
2020-03-23,Mississippi,28,2,0,1,deaths,0.0
2020-03-23,Missouri,29,1,53,183,cases,0.4076923076923077
2020-03-23,Missouri,29,1,1,4,deaths,0.3333333333333333
2020-03-23,Nevada,32,3,75,265,cases,0.39473684210526316
2020-03-23,Nevada,32,3,2,4,deaths,1.0
2020-03-23,New Hampshire,33,0,23,101,cases,0.2948717948717949
2020-03-23,New Hampshire,33,0,1,1,deaths,
2020-03-23,New Jersey,34,7,930,2844,cases,0.48589341692789967
2020-03-23,New Jersey,34,7,7,27,deaths,0.35
2020-03-23,New York,36,15,5707,20875,cases,0.3762526371308017
2020-03-23,New York,36,15,37,159,deaths,0.30327868852459017
2020-03-23,North Carolina,37,4,34,303,cases,0.12639405204460966
2020-03-23,North Carolina,37,4,0,0,deaths,
2020-03-23,Ohio,39,4,93,444,cases,0.26495726495726496
2020-03-23,Ohio,39,4,3,6,deaths,1.0
2020-03-23,Oregon,41,3,30,191,cases,0.18633540372670807
2020-03-23,Oregon,41,3,0,5,deaths,0.0
2020-03-23,Pennsylvania,42,6,140,644,cases,0.2777777777777778
2020-03-23,Pennsylvania,42,6,3,6,deaths,1.0
2020-03-23,Rhode Island,44,0,23,106,cases,0.27710843373493976
2020-03-23,Rhode Island,44,0,0,0,deaths,
2020-03-23,South Carolina,45,3,105,299,cases,0.5412371134020618
2020-03-23,South Carolina,45,3,2,5,deaths,0.6666666666666666
2020-03-23,Tennessee,47,4,98,522,cases,0.23113207547169812
2020-03-23,Tennessee,47,4,0,2,deaths,0.0
2020-03-23,Texas,48,6,96,728,cases,0.1518987341772152
2020-03-23,Texas,48,6,0,7,deaths,0.0
2020-03-23,Utah,49,3,75,257,cases,0.41208791208791207
2020-03-23,Utah,49,3,0,1,deaths,0.0
2020-03-23,Virginia,51,3,35,254,cases,0.1598173515981735
2020-03-23,Virginia,51,3,0,6,deaths,0.0
2020-03-23,Washington,53,16,257,2101,cases,0.1393709327548807
2020-03-23,Washington,53,16,13,110,deaths,0.13402061855670103
2020-03-23,Wisconsin,55,5,36,418,cases,0.09424083769633508
2020-03-23,Wisconsin,55,5,1,5,deaths,0.25
2020-03-24,Alabama,1,4,46,242,cases,0.23469387755102042
2020-03-24,Alabama,1,4,0,0,deaths,
2020-03-24,Arizona,4,3,92,326,cases,0.39316239316239315
2020-03-24,Arizona,4,3,4,6,deaths,2.0
2020-03-24,Arkansas,5,4,31,232,cases,0.15422885572139303
2020-03-24,Arkansas,5,4,2,2,deaths,
2020-03-24,California,6,17,404,2644,cases,0.18035714285714285
2020-03-24,California,6,17,13,52,deaths,0.3333333333333333
2020-03-24,Colorado,8,10,191,912,cases,0.26490984743411927
2020-03-24,Colorado,8,10,1,11,deaths,0.1
2020-03-24,Connecticut,9,5,203,618,cases,0.4891566265060241
2020-03-24,Connecticut,9,5,2,12,deaths,0.2
2020-03-24,Delaware,10,0,17,104,cases,0.19540229885057472
2020-03-24,Delaware,10,0,0,0,deaths,
2020-03-24,District of Columbia,11,2,45,183,cases,0.32608695652173914
2020-03-24,District of Columbia,11,2,0,2,deaths,0.0
2020-03-24,Florida,12,9,245,1467,cases,0.20049099836333878
2020-03-24,Florida,12,9,1,19,deaths,0.05555555555555555
2020-03-24,Georgia,13,8,297,1097,cases,0.37125
2020-03-24,Georgia,13,8,13,38,deaths,0.52
2020-03-24,Illinois,17,8,250,1535,cases,0.19455252918287938
2020-03-24,Illinois,17,8,4,16,deaths,0.3333333333333333
2020-03-24,Indiana,18,3,107,366,cases,0.41312741312741313
2020-03-24,Indiana,18,3,5,12,deaths,0.7142857142857143
2020-03-24,Iowa,19,1,19,124,cases,0.18095238095238095
2020-03-24,Iowa,19,1,1,1,deaths,
2020-03-24,Kentucky,21,2,33,157,cases,0.2661290322580645
2020-03-24,Kentucky,21,2,0,3,deaths,0.0
2020-03-24,Louisiana,22,9,216,1388,cases,0.18430034129692832
2020-03-24,Louisiana,22,9,12,46,deaths,0.35294117647058826
