date,state,fips,new,value,type,growth
2020-03-01,Wisconsin,55,0,1,cases,0.0
2020-03-01,Wisconsin,55,0,0,deaths,
2020-03-02,Arizona,4,0,1,cases,0.0
2020-03-02,Arizona,4,0,0,deaths,
2020-03-02,California,6,5,38,cases,0.15151515151515152
2020-03-02,California,6,0,0,deaths,
2020-03-02,Florida,12,0,2,cases,0.0
2020-03-02,Florida,12,0,0,deaths,
2020-03-02,Illinois,17,1,4,cases,0.3333333333333333
2020-03-02,Illinois,17,0,0,deaths,
2020-03-02,Massachusetts,25,1,2,cases,1.0
2020-03-02,Massachusetts,25,0,0,deaths,
2020-03-02,Nebraska,31,0,13,cases,0.0
2020-03-02,Nebraska,31,0,0,deaths,
2020-03-02,New York,36,0,1,cases,0.0
2020-03-02,New York,36,0,0,deaths,
2020-03-02,Oregon,41,0,2,cases,0.0
2020-03-02,Oregon,41,0,0,deaths,
2020-03-02,Rhode Island,44,0,2,cases,0.0
2020-03-02,Rhode Island,44,0,0,deaths,
2020-03-02,Texas,48,0,11,cases,0.0
2020-03-02,Texas,48,0,0,deaths,
2020-03-02,Utah,49,0,1,cases,0.0
2020-03-02,Utah,49,0,0,deaths,
2020-03-02,Washington,53,6,23,cases,0.35294117647058826
2020-03-02,Washington,53,3,6,deaths,1.0
2020-03-02,Wisconsin,55,0,1,cases,0.0
2020-03-02,Wisconsin,55,0,0,deaths,
2020-03-03,Arizona,4,1,2,cases,1.0
2020-03-03,Arizona,4,0,0,deaths,
2020-03-03,California,6,7,45,cases,0.18421052631578946
2020-03-03,California,6,0,0,deaths,
2020-03-03,Florida,12,1,3,cases,0.5
2020-03-03,Florida,12,0,0,deaths,
2020-03-03,Georgia,13,0,2,cases,0.0
2020-03-03,Georgia,13,0,0,deaths,
2020-03-03,Illinois,17,0,4,cases,0.0
2020-03-03,Illinois,17,0,0,deaths,
2020-03-03,Massachusetts,25,0,2,cases,0.0
2020-03-03,Massachusetts,25,0,0,deaths,
2020-03-03,Nebraska,31,0,13,cases,0.0
2020-03-03,Nebraska,31,0,0,deaths,
2020-03-03,New Hampshire,33,1,2,cases,1.0
2020-03-03,New Hampshire,33,0,0,deaths,
2020-03-03,New York,36,1,2,cases,1.0
2020-03-03,New York,36,0,0,deaths,
2020-03-03,Oregon,41,0,2,cases,0.0
2020-03-03,Oregon,41,0,0,deaths,
2020-03-03,Rhode Island,44,0,2,cases,0.0
2020-03-03,Rhode Island,44,0,0,deaths,
2020-03-03,Texas,48,0,11,cases,0.0
2020-03-03,Texas,48,0,0,deaths,
2020-03-03,Utah,49,0,1,cases,0.0
2020-03-03,Utah,49,0,0,deaths,
2020-03-03,Washington,53,9,32,cases,0.391304347826087
2020-03-03,Washington,53,4,10,deaths,0.6666666666666666
2020-03-03,Wisconsin,55,0,1,cases,0.0
2020-03-03,Wisconsin,55,0,0,deaths,
2020-03-04,Arizona,4,0,2,cases,0.0
2020-03-04,Arizona,4,0,0,deaths,
2020-03-04,California,6,10,55,cases,0.2222222222222222
2020-03-04,California,6,1,1,deaths,
2020-03-04,Florida,12,0,3,cases,0.0
2020-03-04,Florida,12,0,0,deaths,
2020-03-04,Georgia,13,0,2,cases,0.0
2020-03-04,Georgia,13,0,0,deaths,
2020-03-04,Illinois,17,0,4,cases,0.0
2020-03-04,Illinois,17,0,0,deaths,
2020-03-04,Massachusetts,25,0,2,cases,0.0
2020-03-04,Massachusetts,25,0,0,deaths,
2020-03-04,Nebraska,31,0,13,cases,0.0
2020-03-04,Nebraska,31,0,0,deaths,
2020-03-04,New Hampshire,33,0,2,cases,0.0
2020-03-04,New Hampshire,33,0,0,deaths,
2020-03-04,New York,36,9,11,cases,4.5
2020-03-04,New York,36,0,0,deaths,
2020-03-04,North Carolina,37,0,1,cases,0.0
2020-03-04,North Carolina,37,0,0,deaths,
2020-03-04,Oregon,41,0,2,cases,0.0
2020-03-04,Oregon,41,0,0,deaths,
2020-03-04,Rhode Island,44,0,2,cases,0.0
2020-03-04,Rhode Island,44,0,0,deaths,
2020-03-04,Texas,48,1,12,cases,0.09090909090909091
2020-03-04,Texas,48,0,0,deaths,
2020-03-04,Utah,49,0,1,cases,0.0
2020-03-04,Utah,49,0,0,deaths,
2020-03-04,Washington,53,15,47,cases,0.46875
2020-03-04,Washington,53,1,11,deaths,0.1
2020-03-04,Wisconsin,55,0,1,cases,0.0
